year,quarter,year_quarter,quote,n_days,rate_mean,rate_std,rate_min,rate_max
2019,Q1,2019-Q1,AED,90,0.97933,0.0,0.97933,0.97933
2019,Q1,2019-Q1,CNY,90,1.7999055555555556,0.01261958849300705,1.7829,1.8334
2019,Q1,2019-Q1,EUR,90,0.23474433333333333,0.0014654324437485973,0.23133,0.23741
2019,Q1,2019-Q1,GBP,90,0.20494022222222222,0.002794472464447765,0.2007,0.21169
2019,Q1,2019-Q1,USD,90,0.26667,0.0,0.26667,0.26667
2019,Q2,2019-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2019,Q2,2019-Q2,CNY,91,1.8193296703296704,0.023323181098571615,1.786,1.8464
2019,Q2,2019-Q2,EUR,91,0.23732923076923076,0.0013321613438896358,0.23423,0.23943
2019,Q2,2019-Q2,GBP,91,0.20748582417582417,0.0029251492140227684,0.20291,0.21242
2019,Q2,2019-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2019,Q3,2019-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2019,Q3,2019-Q3,CNY,92,1.869879347826087,0.028789358298134084,1.8276,1.9124
2019,Q3,2019-Q3,EUR,92,0.23977923913043478,0.0021357224547507527,0.23501,0.24397
2019,Q3,2019-Q3,GBP,92,0.21626184782608696,0.002920696864515529,0.21042,0.22115
2019,Q3,2019-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2019,Q4,2019-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2019,Q4,2019-Q4,CNY,92,1.8777510869565217,0.011929274128090141,1.8598,1.9039
2019,Q4,2019-Q4,EUR,92,0.24084815217391303,0.0013481529320655556,0.23793,0.24448
2019,Q4,2019-Q4,GBP,92,0.207285,0.004271580632377331,0.19959,0.21809
2019,Q4,2019-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2020,Q1,2020-Q1,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2020,Q1,2020-Q1,CNY,91,1.8609043956043956,0.0160894576394187,1.8296,1.8926
